product id,product name,"Brewery Dist, Edmonton","Lonsdale, Vancouver","Mcarthur, Ottawa","Mclaughlin, Toronto"
738,"Spinach, Bunched",2.99,2.99,3.49,3.49
739,Spring Herb Vinagrette Pouch,,,,0.59
740,Spring Mix,4.99,4.99,4.99,6.49
741,Spring Mix Salad with Toppings Single Sized,6.99,6.99,5.99,5.99
742,Star Fruit,,,2.99,2.99
743,Steak & Blue Cheese Salad,,,9.0,
744,Steak & Egg Salad,9.0,,,
745,"Steak & Egg Salad, Family Size",19.0,,,
746,"Steak and Blue Cheese Salad, Large",,,13.0,
747,"Stir Fry Vegetable Mix (Peppers,Mushrooms & Onion Mix)",6.0,6.0,6.0,
748,Strawberries 1LB,6.49,6.49,,
749,Strawberries 2LB,9.99,9.99,8.99,8.99
750,Strawberries Small,6.0,,,
751,Strawberry Banana,9.99,6.99,4.99,4.99
752,Strawberry Parfait,5.0,5.0,5.0,5.0
753,Sugar Snap Peas  ,10.99,10.99,,
754,Sun Rich Sliced Red Apples,6.0,,,6.0
755,Sundried Tomatoes,,,2.99,
756,Sunflower Bacon Crunch Chopped Salad Kit,6.99,6.99,6.99,6.99
757,Suntech Tomato,,,1.76,
758,Super Tea Pomegranate Peach Passion White Tea,11.99,11.99,11.99,11.99
759,Sweet Baby Cauliflower,,,3.99,3.99
760,Sweet Baby Lettuce,,,4.99,4.99
761,Sweet Broccoli Tender Stems,,,5.99,
